AM;Last name;First name;New course code;New course name;Old course code;Old course name;Grade
SR000001;ΕΠΩΝΥΜΟ 0001;ΟΝΟΜΑ 0001;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;ICE1-1003;ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ;0.4
SR000001;ΕΠΩΝΥΜΟ 0001;ΟΝΟΜΑ 0001;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;ICE1-2006;ΘΕΩΡΙΑ ΚΥΚΛΩΜΑΤΩΝ;0.3
SR000001;ΕΠΩΝΥΜΟ 0001;ΟΝΟΜΑ 0001;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;0.3
SR000004;ΕΠΩΝΥΜΟ 0004;ΟΝΟΜΑ 0004;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;3.5
SR000004;ΕΠΩΝΥΜΟ 0004;ΟΝΟΜΑ 0004;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;3.5
SR000004;ΕΠΩΝΥΜΟ 0004;ΟΝΟΜΑ 0004;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;3.5
SR000004;ΕΠΩΝΥΜΟ 0004;ΟΝΟΜΑ 0004;ICE1-4002;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;ICE1-4002;ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ ΙΙ;6.8
SR000004;ΕΠΩΝΥΜΟ 0004;ΟΝΟΜΑ 0004;ICE1-4004;ΜΕΘΟΔΟΛΟΓΙΕΣ ΑΝΑΠΤΥΞΗΣ ΕΦΑΡΜΟΓΩΝ;ICE1-4004;ΜΕΘΟΔΟΛΟΓΙΕΣ ΑΝΑΠΤΥΞΗΣ ΕΦΑΡΜΟΓΩΝ;1.1
SR000004;ΕΠΩΝΥΜΟ 0004;ΟΝΟΜΑ 0004;ICE1-4004;ΜΕΘΟΔΟΛΟΓΙΕΣ ΑΝΑΠΤΥΞΗΣ ΕΦΑΡΜΟΓΩΝ;ICE1-4004;ΜΕΘΟΔΟΛΟΓΙΕΣ ΑΝΑΠΤΥΞΗΣ ΕΦΑΡΜΟΓΩΝ;1.1
SR000004;ΕΠΩΝΥΜΟ 0004;ΟΝΟΜΑ 0004;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;ICE1-5004;ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ;2.0
SR000004;ΕΠΩΝΥΜΟ 0004;ΟΝΟΜΑ 0004;ICE1-6006;ΨΗΦΙΑΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ;ICE1-6006;ΨΗΦΙΑΚΕΣ ΕΠΙΚΟΙΝΩΝΙΕΣ;2.0
SR000009;ΕΠΩΝΥΜΟ 0009;ΟΝΟΜΑ 0009;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;10.0
SR000009;ΕΠΩΝΥΜΟ 0009;ΟΝΟΜΑ 0009;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;10.0
SR000009;ΕΠΩΝΥΜΟ 0009;ΟΝΟΜΑ 0009;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;ICE1-3003;ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ;10.0
SR000009;ΕΠΩΝΥΜΟ 0009;ΟΝΟΜΑ 0009;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;ICE1-4003;ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΙΙ;3.4
